	C12	C6/C18 1:1
0	0.0	0.0
1	0.0	0.0
2	0.026381909547738686	0.025175879396984936
3	0.044924623115577884	0.045075376884422126
4	0.05678391959798994	0.05648241206030151
5	0.06507537688442212	0.06346733668341704
6	0.06412060301507538	0.0651256281407035
7	0.06492462311557783	0.06603015075376882
8	0.06442211055276381	0.06889447236180905
9	0.0671356783919598	0.06246231155778891
10	0.05954773869346732	0.05738693467336681
11	0.054271356783919596	0.05326633165829145
12	0.048944723618090456	0.05085427135678393
13	0.04678391959798994	0.04432160804020101
14	0.04115577889447234	0.0398994974874372
15	0.03562814070351759	0.038592964824120585
16	0.03306532663316583	0.033015075376884424
17	0.030402010050251248	0.028140703517587937
18	0.02391959798994974	0.027989949748743727
19	0.023768844221105524	0.024522613065326642
20	0.020502512562814056	0.021155778894472364
21	0.017386934673366834	0.018894472361809043
22	0.015527638190954764	0.015427135678391952
23	0.013065326633165831	0.013869346733668344
24	0.01135678391959799	0.012412060301507538
25	0.009597989949748746	0.00969849246231156
26	0.008643216080402014	0.010201005025125633
27	0.0071859296482412105	0.00718592964824121
28	0.007788944723618095	0.005527638190954776
29	0.005075376884422114	0.005125628140703521
30	0.005326633165829148	0.004773869346733669
31	0.003768844221105528	0.0035678391959798983
32	0.0026633165829145714	0.002964824120603015
33	0.002964824120603015	0.0027135678391959793
34	0.0027638190954773862	0.00271356783919598
35	0.0021105527638190943	0.0019095477386934661
36	0.0021105527638190943	0.0016080402010050245
37	0.0017085427135678382	0.0015075376884422103
38	0.0012060301507537685	0.0012060301507537683
39	0.0011055276381909543	0.0010050251256281404
40	0.0008040201005025125	0.0008542713567839196
41	0.0006532663316582915	0.0007035175879396985
42	0.0005025125628140704	0.0006532663316582915
43	0.0008542713567839194	0.0007035175879396985
44	0.0011055276381909543	0.0007537688442211056
45	0.0004522613065326633	0.0005025125628140704
46	0.0007537688442211055	5.0251256281407036e-05
47	0.00030150753768844223	0.0002512562814070352
48	0.0004020100502512563	0.00030150753768844223
49	0.00030150753768844223	0.00020100502512562814
50	0.0001507537688442211	5.0251256281407036e-05
51	0.00010050251256281407	0.00010050251256281407
52	5.0251256281407036e-05	0.00010050251256281407
53	0.00020100502512562814	5.0251256281407036e-05
54	0.0	5.0251256281407036e-05
55	5.0251256281407036e-05	5.0251256281407036e-05
56	0.0	0.00010050251256281407
57	0.0	0.00010050251256281407
58	0.0	0.0
59	0.0	0.00010050251256281407
60	5.0251256281407036e-05	5.0251256281407036e-05
61	0.0	5.0251256281407036e-05
62	0.0	0.0
63	5.0251256281407036e-05	0.0
64	5.0251256281407036e-05	0.0
65	0.0	0.0
66	0.0	0.0
67	0.0	0.0
68	0.0	0.0
69	0.0	0.0
70	0.0	0.0
71	0.0	0.0
72	0.0	0.0
73	0.0	0.0
74	0.0	5.0251256281407036e-05
75	0.0	0.0
76	0.0	0.0
77	0.0	0.0
78	0.0	0.0
79	0.0	0.0
80	0.0	0.0
81	5.0251256281407036e-05	0.0
82	0.0	0.0
83	0.0	0.0
84	0.0	0.0
85	0.0	0.0
86	0.0	0.0
87	0.0	0.0
88	0.0	0.0
89	0.0	0.0
90	0.0	0.0
91	0.0	0.0
92	0.0	0.0
93	0.0	0.0
94	0.0	0.0
95	0.0	0.0
96	0.0	0.0
97	0.0	0.0
98	0.0	0.0
99	0.0	0.0
100	0.0	0.0
101	0.0	0.0
102	0.0	0.0
103	0.0	0.0
104	0.0	0.0
105	0.0	0.0
106	0.0	0.0
107	0.0	0.0
108	0.0	0.0
109	0.0	0.0
