	C12	C3	C6
0	0.0	0.0	0.0
1	0.0	0.0	0.0
2	0.026984924623115587	0.43597989949748744	0.10758793969849244
3	0.04201005025125628	0.3042211055276383	0.15266331658291465
4	0.05623115577889447	0.1490954773869346	0.1397989949748744
5	0.06256281407035177	0.06854271356783917	0.1311055276381909
6	0.06783919597989951	0.026030150753768848	0.11221105527638187
7	0.0684422110552764	0.01115577889447236	0.0917587939698493
8	0.06417085427135677	0.003517587939698492	0.07080402010050248
9	0.06266331658291459	0.0008542713567839194	0.054070351758793975
10	0.057537688442211035	0.00035175879396984926	0.03854271356783919
11	0.0557286432160804	0.0002512562814070352	0.030452261306532655
12	0.05105527638190955	0.0	0.01979899497487437
13	0.049246231155778884	0.0	0.0150753768844221
14	0.03954773869346735	0.0	0.010804020100502519
15	0.03487437185929648	0.0	0.00718592964824121
16	0.03412060301507538	0.0	0.006030150753768848
17	0.02969849246231155	0.0	0.003366834170854272
18	0.02562814070351758	0.0	0.002562814070351757
19	0.022713567839195977	0.0	0.0020100502512562803
20	0.02050251256281407	0.0	0.0011055276381909543
21	0.01698492462311558	0.0	0.0009045226130653265
22	0.016884422110552764	0.0	0.0005025125628140704
23	0.015326633165829148	0.0	0.00030150753768844223
24	0.01165829145728644	0.0	0.0004522613065326633
25	0.009246231155778899	0.0	0.00035175879396984926
26	0.008190954773869349	0.0	0.0001507537688442211
27	0.006381909547738698	0.0	5.0251256281407036e-05
28	0.006381909547738698	0.0	0.00010050251256281407
29	0.005376884422110556	0.0	0.00010050251256281407
30	0.004422110552763822	0.0	5.0251256281407036e-05
31	0.004522613065326635	0.0	0.0
32	0.0038190954773869358	0.0	0.0
33	0.002814070351758793	0.0	0.00010050251256281407
34	0.0028140703517587928	0.0	0.0
35	0.0021105527638190943	0.0	0.0
36	0.0017587939698492452	0.0	0.0
37	0.0016080402010050243	0.0	0.0
38	0.0010552763819095473	0.0	0.0
39	0.0008040201005025126	0.0	0.0
40	0.0009547738693467334	0.0	0.0
41	0.0007537688442211055	0.0	0.0
42	0.0006030150753768845	0.0	0.0
43	0.0008542713567839194	0.0	0.0
44	0.0004020100502512563	0.0	0.0
45	0.0004522613065326633	0.0	0.0
46	0.0004020100502512563	0.0	0.0
47	0.0002512562814070352	0.0	0.0
48	0.0002512562814070352	0.0	0.0
49	0.0001507537688442211	0.0	0.0
50	0.0002512562814070352	0.0	0.0
51	0.00010050251256281407	0.0	0.0
52	0.00020100502512562814	0.0	0.0
53	5.0251256281407036e-05	0.0	0.0
54	0.00010050251256281407	0.0	0.0
55	0.00020100502512562814	0.0	0.0
56	0.0001507537688442211	0.0	0.0
57	0.0	0.0	0.0
58	0.0	0.0	0.0
59	5.0251256281407036e-05	0.0	0.0
60	0.0	0.0	0.0
61	0.0	0.0	0.0
62	0.0	0.0	0.0
63	0.0	0.0	0.0
64	0.0	0.0	0.0
65	5.0251256281407036e-05	0.0	0.0
66	5.0251256281407036e-05	0.0	0.0
67	0.0	0.0	0.0
68	0.0	0.0	0.0
69	0.0	0.0	0.0
70	0.0	0.0	0.0
71	0.0	0.0	0.0
72	0.0	0.0	0.0
73	0.0	0.0	0.0
74	0.0	0.0	0.0
75	0.0	0.0	0.0
76	0.0	0.0	0.0
77	0.0	0.0	0.0
78	0.0	0.0	0.0
79	0.0	0.0	0.0
80	0.0	0.0	0.0
81	0.0	0.0	0.0
82	0.0	0.0	0.0
83	0.0	0.0	0.0
84	0.0	0.0	0.0
85	0.0	0.0	0.0
86	0.0	0.0	0.0
87	0.0	0.0	0.0
88	0.0	0.0	0.0
89	0.0	0.0	0.0
90	0.0	0.0	0.0
91	0.0	0.0	0.0
92	0.0	0.0	0.0
93	0.0	0.0	0.0
94	0.0	0.0	0.0
95	0.0	0.0	0.0
96	0.0	0.0	0.0
97	0.0	0.0	0.0
98	0.0	0.0	0.0
99	0.0	0.0	0.0
100	0.0	0.0	0.0
101	0.0	0.0	0.0
102	0.0	0.0	0.0
103	0.0	0.0	0.0
104	0.0	0.0	0.0
105	0.0	0.0	0.0
106	0.0	0.0	0.0
107	0.0	0.0	0.0
108	0.0	0.0	0.0
109	0.0	0.0	0.0
